"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2003","1057","","1000 tonnes"
"Algeria","2015","5182.1572265625","","1000 tonnes"
"Algeria","2014","4816.81103515625","","1000 tonnes"
"Andorra","2015","42.0701141357422","","1000 tonnes"
"Andorra","2014","41.1419830322266","","1000 tonnes"
"Andorra","2013","41.6491088867188","","1000 tonnes"
"Andorra","2012","43.1399993896484","","1000 tonnes"
"Andorra","2011","44.7799987792969","","1000 tonnes"
"Andorra","2010","51.9700012207031","","1000 tonnes"
"Andorra","2009","47.9199981689453","","1000 tonnes"
"Andorra","2008","47.5800018310547","","1000 tonnes"
"Andorra","2007","45.7700004577637","","1000 tonnes"
"Andorra","2006","50.75","","1000 tonnes"
"Andorra","2005","49.5400009155273","","1000 tonnes"
"Andorra","2004","49.060001373291","","1000 tonnes"
"Andorra","2003","48.6800003051758","","1000 tonnes"
"Andorra","2002","48.0999984741211","","1000 tonnes"
"Andorra","2001","37.4000015258789","","1000 tonnes"
"Andorra","2000","48.9000015258789","","1000 tonnes"
"Andorra","1999","41.0999984741211","","1000 tonnes"
"Andorra","1998","40.2000007629395","","1000 tonnes"
"Angola","2006","5839.5","1","1000 tonnes"
"Anguilla","2008","14.6547002792358","","1000 tonnes"
"Anguilla","2007","12.3604049682617","","1000 tonnes"
"Anguilla","2006","10.4528512954712","","1000 tonnes"
"Anguilla","2005","8.01208877563477","2","1000 tonnes"
"Anguilla","2004","5.2732892036438","","1000 tonnes"
"Anguilla","2003","4.63972520828247","","1000 tonnes"
"Anguilla","2002","5.10496473312378","","1000 tonnes"
"Anguilla","2001","5.63463735580444","","1000 tonnes"
"Antigua and Barbuda","2015","95.8000030517578","3","1000 tonnes"
"Antigua and Barbuda","2014","138","3","1000 tonnes"
"Antigua and Barbuda","2013","132.699996948242","3","1000 tonnes"
"Antigua and Barbuda","2012","122.5","3","1000 tonnes"
"Antigua and Barbuda","2011","121.199996948242","3","1000 tonnes"
"Antigua and Barbuda","2010","136.600006103516","3","1000 tonnes"
"Antigua and Barbuda","2009","136.399993896484","3","1000 tonnes"
"Antigua and Barbuda","2008","121.699996948242","3","1000 tonnes"
"Antigua and Barbuda","2007","111.800003051758","3","1000 tonnes"
"Antigua and Barbuda","2006","90.9000015258789","3","1000 tonnes"
"Antigua and Barbuda","2005","84.0999984741211","3","1000 tonnes"
"Argentina","2012","5692.0361328125","4","1000 tonnes"
"Argentina","2010","6125.505859375","4","1000 tonnes"
"Argentina","2009","5662.3427734375","4","1000 tonnes"
"Argentina","2008","5585.2099609375","4","1000 tonnes"
"Armenia","2015","492.799987792969","","1000 tonnes"
"Armenia","2014","517.099975585938","","1000 tonnes"
"Armenia","2013","517.690002441406","","1000 tonnes"
"Armenia","2012","408.100006103516","","1000 tonnes"
"Armenia","2011","395.5","","1000 tonnes"
"Armenia","2010","387.100006103516","","1000 tonnes"
"Armenia","2009","410.899993896484","","1000 tonnes"
"Armenia","2008","385.899993896484","","1000 tonnes"
"Armenia","2007","391.899993896484","","1000 tonnes"
"Armenia","2006","381","","1000 tonnes"
"Armenia","2005","374.600006103516","","1000 tonnes"
"Armenia","2004","377","","1000 tonnes"
"Armenia","2003","368.600006103516","","1000 tonnes"
"Armenia","2002","284.399993896484","","1000 tonnes"
"Armenia","2001","233.600006103516","","1000 tonnes"
"Armenia","2000","208.100006103516","","1000 tonnes"
"Armenia","1999","242.199996948242","","1000 tonnes"
"Armenia","1998","281.100006103516","","1000 tonnes"
"Armenia","1997","289.899993896484","","1000 tonnes"
"Armenia","1996","318.600006103516","","1000 tonnes"
"Armenia","1995","342.600006103516","","1000 tonnes"
"Armenia","1990","394.700012207031","","1000 tonnes"
"Australia","2015","13339","","1000 tonnes"
"Australia","2011","14037","","1000 tonnes"
"Australia","2009","14035","","1000 tonnes"
"Australia","2000","13200","5","1000 tonnes"
"Australia","1992","12000","5","1000 tonnes"
"Austria","2015","4836","","1000 tonnes"
"Austria","2014","4833","","1000 tonnes"
"Austria","2013","4905","","1000 tonnes"
"Austria","2012","4883","","1000 tonnes"
"Austria","2011","4807","","1000 tonnes"
"Austria","2010","4701","","1000 tonnes"
"Austria","2009","4921","","1000 tonnes"
"Austria","2008","4997","","1000 tonnes"
"Austria","2007","4951","","1000 tonnes"
"Austria","2006","4933","","1000 tonnes"
"Austria","2005","4732","","1000 tonnes"
"Austria","2004","4687","","1000 tonnes"
"Austria","2003","4932","","1000 tonnes"
"Austria","2002","4914","","1000 tonnes"
"Austria","2001","4634","","1000 tonnes"
"Austria","2000","4646","","1000 tonnes"
"Austria","1999","4496","","1000 tonnes"
"Austria","1998","4240","","1000 tonnes"
"Austria","1997","4241","","1000 tonnes"
"Austria","1996","4110","","1000 tonnes"
"Austria","1995","3476","","1000 tonnes"
"Azerbaijan","2015","1535","","1000 tonnes"
"Azerbaijan","2014","1355","","1000 tonnes"
"Azerbaijan","2013","1671","","1000 tonnes"
"Azerbaijan","2012","1647","","1000 tonnes"
"Azerbaijan","2011","1781","","1000 tonnes"
"Azerbaijan","2010","1609","","1000 tonnes"
"Azerbaijan","2009","1603","","1000 tonnes"
"Azerbaijan","2008","1478","","1000 tonnes"
"Azerbaijan","2007","1631","","1000 tonnes"
"Azerbaijan","2006","1573","","1000 tonnes"
"Azerbaijan","2005","1753","","1000 tonnes"
"Azerbaijan","2004","1784","","1000 tonnes"
"Azerbaijan","2003","1889","","1000 tonnes"
"Azerbaijan","2002","1854","","1000 tonnes"
"Azerbaijan","2001","1268","","1000 tonnes"
"Azerbaijan","2000","1104","","1000 tonnes"
"Bahamas","2006","227.167999267578","","1000 tonnes"
"Bahamas","2005","239.945999145508","","1000 tonnes"
"Bahamas","2004","168.861999511719","","1000 tonnes"
"Bangladesh","2014","4841.759765625","","1000 tonnes"
"Bangladesh","2009","3783.36010742188","","1000 tonnes"
"Bangladesh","2005","2676.2900390625","","1000 tonnes"
"Belarus","2015","3852.60009765625","6","1000 tonnes"
"Belarus","2014","3593.89990234375","6","1000 tonnes"
"Belarus","2013","3468.60009765625","6","1000 tonnes"
"Belarus","2012","3275.69995117188","6","1000 tonnes"
"Belarus","2011","3260.89990234375","6","1000 tonnes"
"Belarus","2010","3245.89990234375","6","1000 tonnes"
"Belarus","2009","3013","6","1000 tonnes"
"Belarus","2008","2830.30004882813","6","1000 tonnes"
"Belarus","2007","2624.39990234375","6","1000 tonnes"
"Belarus","2006","2702.10009765625","6","1000 tonnes"
"Belarus","2005","2530.39990234375","6","1000 tonnes"
"Belarus","2004","2395.169921875","6","1000 tonnes"
"Belgium","2016","4735","","1000 tonnes"
"Belgium","2015","4673","","1000 tonnes"
"Belgium","2014","4802","","1000 tonnes"
"Belgium","2013","4904","","1000 tonnes"
"Belgium","2012","4969","","1000 tonnes"
"Belgium","2011","5035","","1000 tonnes"
"Belgium","2010","4973","","1000 tonnes"
"Belgium","2009","5037","","1000 tonnes"
"Belgium","2008","5134","","1000 tonnes"
